filename	phoneme	F0	F1	F2	F3	duration
common_voice_cy_24420415.wav	r̥	nan	2307.463	3083.437	3579.759	0.100
common_voice_cy_24420415.wav	a	206.897	553.731	1319.551	2325.149	0.070
common_voice_cy_24420415.wav	i̯	206.903	501.955	1276.576	2484.524	0.010
common_voice_cy_24420415.wav	d	203.838	601.374	2328.750	3485.864	0.010
common_voice_cy_24420415.wav	b	nan	796.220	2575.790	3486.364	0.020
common_voice_cy_24420415.wav	ɛ	nan	760.245	2347.631	3010.921	0.320
common_voice_cy_24420415.wav	r	210.668	353.779	2208.664	2857.054	0.010
common_voice_cy_24420415.wav	w	240.547	483.510	1944.387	2927.645	0.030
common_voice_cy_24420415.wav	i	238.018	469.772	1494.409	2748.298	0.010
common_voice_cy_24420415.wav	r	237.448	475.952	1473.399	2872.957	0.010
common_voice_cy_24420415.wav	l	242.635	529.822	1752.400	2802.219	0.050
common_voice_cy_24420415.wav	a	243.669	529.702	1641.023	2536.829	0.030
common_voice_cy_24420415.wav	s	nan	383.566	2101.580	3399.422	0.100
common_voice_cy_24420415.wav	a	233.002	625.895	1209.014	2066.139	0.170
common_voice_cy_24420415.wav	ɡ	200.596	529.111	1479.093	2616.322	0.010
common_voice_cy_24420415.wav	n	196.452	469.691	1452.306	2567.680	0.010
common_voice_cy_24420415.wav	ɛ	165.811	498.924	2088.433	2610.682	0.250
common_voice_cy_24420415.wav	k	191.243	474.783	2543.716	3120.687	0.020
common_voice_cy_24420415.wav	ɨ̞	182.020	592.652	1084.379	2948.610	0.110
common_voice_cy_24420415.wav	n	177.544	480.965	2897.940	4055.854	0.010
common_voice_cy_24420415.wav	ɡ	nan	433.988	2448.014	3523.996	0.010
common_voice_cy_24420415.wav	ɔ	nan	825.861	1589.151	3014.462	0.010
common_voice_cy_24420415.wav	s	nan	1052.070	2668.787	3778.139	0.210
common_voice_cy_24420415.wav	ɔ	186.282	489.307	1405.145	3054.928	0.010
common_voice_cy_24420415.wav	d	181.285	503.351	1649.415	3708.110	0.010
common_voice_cy_24420415.wav	ə	184.457	476.031	1797.486	3063.177	0.160
common_voice_cy_24420415.wav	k	nan	781.252	2109.531	3066.452	0.020
common_voice_cy_24420415.wav	ə	206.017	706.227	1896.250	2883.056	0.160
common_voice_cy_24420415.wav	v	189.262	586.172	1712.379	2670.930	0.010
common_voice_cy_24420415.wav	a	161.117	555.678	1764.573	2143.111	0.200
common_voice_cy_24420415.wav	n	nan	722.842	2174.783	2998.871	0.010
common_voice_cy_24420415.wav	ɡ	nan	614.060	2056.380	2949.900	0.010
common_voice_cy_24420415.wav	ɨ̞	nan	458.624	2377.518	3267.540	0.100
common_voice_cy_24420415.wav	d	nan	335.108	2296.146	3231.324	0.010
common_voice_cy_24420415.wav	a	nan	818.896	2028.752	3211.675	0.030
common_voice_cy_24420415.wav	iː	nan	388.426	2308.605	2840.230	0.230
common_voice_cy_24420415.wav	ɡ	172.602	389.566	3083.656	3277.527	0.010
common_voice_cy_24420415.wav	ɪ	171.681	391.880	1438.690	3282.798	0.010
common_voice_cy_24420415.wav	l	163.363	399.913	1388.485	3022.468	0.060
common_voice_cy_24420415.wav	ɨ̞	nan	503.501	2030.630	3107.724	0.230
common_voice_cy_24420415.wav	ð	nan	779.719	1964.439	2769.028	0.690
common_voice_cy_17672175.wav	d	nan	1196.121	2226.759	3402.156	0.010
common_voice_cy_17672175.wav	u	nan	929.513	2062.921	3390.546	0.010
common_voice_cy_17672175.wav	ɪ	nan	1088.041	1971.875	3636.409	0.410
common_voice_cy_17672175.wav	n	nan	669.519	1789.860	2884.899	0.010
common_voice_cy_17672175.wav	χ	nan	453.793	1857.469	2946.895	0.010
common_voice_cy_17672175.wav	w	214.417	409.495	1405.952	3087.589	0.100
common_voice_cy_17672175.wav	a	261.425	360.969	3229.474	3468.676	0.150
common_voice_cy_17672175.wav	r	276.638	360.334	1752.659	2917.702	0.010
common_voice_cy_17672175.wav	a	150.779	935.010	1591.402	2755.713	0.500
common_voice_cy_17672175.wav	r	158.342	489.127	1977.156	3055.228	0.010
common_voice_cy_17672175.wav	p	nan	901.493	2329.507	3057.088	0.020
common_voice_cy_17672175.wav	iː	203.646	475.992	2498.616	3066.700	0.090
