filename	phoneme	F0	F1	F2	F3	duration
common_voice_fa_19489934.mp3	ɵː	152.893	163.389	1494.404	3043.774	0.060
common_voice_fa_19489934.mp3	s	nan	704.314	2294.892	3837.595	0.190
common_voice_fa_19489934.mp3	iː	123.688	256.004	2128.238	2700.516	0.010
common_voice_fa_19489934.mp3	n	121.827	249.352	1991.984	2730.653	0.010
common_voice_fa_19489934.mp3	a	129.774	350.789	2287.114	3319.001	0.410
common_voice_fa_19489934.mp3	m	125.945	476.446	2119.509	3191.696	0.010
common_voice_fa_19489934.mp3	ʊ	108.354	373.249	1880.373	3044.641	0.820
common_voice_fa_19489934.mp3	ɾ	100.797	488.781	1560.879	2939.173	0.010
common_voice_fa_19489934.mp3	ɣ	100.173	548.169	1687.543	2919.696	0.010
common_voice_fa_19489934.mp3	m	nan	597.534	1857.314	2906.121	0.010
common_voice_fa_19489934.mp3	e	317.797	614.282	1819.530	2988.095	0.010
common_voice_fa_19489934.mp3	x	319.556	675.699	1690.702	2962.629	0.020
common_voice_fa_19489934.mp3	ɒː	205.288	570.857	1627.427	2662.812	0.650
common_voice_fa_19489934.mp3	h	nan	nan	nan	nan	0.020
common_voice_fa_19489934.mp3	e	nan	nan	nan	nan	0.010
common_voice_fa_19489934.mp3	d	nan	nan	nan	nan	0.020
common_voice_fa_19090820.mp3	z	nan	699.113	1758.390	3162.350	0.010
common_voice_fa_19090820.mp3	a	nan	742.111	2145.937	2671.245	0.010
common_voice_fa_19090820.mp3	r	nan	920.585	2351.781	3372.226	0.010
common_voice_fa_19090820.mp3	r	nan	936.678	1675.593	2726.167	0.010
common_voice_fa_19090820.mp3	a	nan	781.772	1884.626	2016.995	0.010
common_voice_fa_19090820.mp3	spn	179.156	535.086	857.092	3057.493	1.410
common_voice_fa_19090820.mp3	spn	nan	488.862	1436.895	2889.339	0.400
common_voice_fa_19090820.mp3	m	nan	854.830	1617.312	2853.235	0.010
common_voice_fa_19090820.mp3	e	nan	832.955	1805.179	2914.213	0.010
common_voice_fa_19090820.mp3	s	nan	1137.142	2359.233	3819.674	0.010
common_voice_fa_19090820.mp3	oː	nan	1340.843	2390.955	3771.191	0.010
common_voice_fa_19090820.mp3	z	nan	1402.443	2549.403	3780.171	0.010
common_voice_fa_19090820.mp3	ɪ	nan	453.567	1904.880	3293.532	0.130
common_voice_fa_19090820.mp3	m	nan	857.689	2029.740	3133.679	0.010
common_voice_fa_19090820.mp3	i	nan	867.628	1865.891	3181.633	0.010
common_voice_fa_19090820.mp3	m	nan	753.326	1870.011	3319.059	0.010
common_voice_fa_19090820.mp3	ɔː	nan	797.173	1785.793	3155.788	0.020
common_voice_fa_19090820.mp3	m	nan	844.385	1511.638	2871.407	0.010
common_voice_fa_19090820.mp3	iː	nan	866.660	1115.285	1904.406	0.010
common_voice_fa_19090820.mp3	m	nan	956.001	1883.265	3303.538	0.010
common_voice_fa_19090820.mp3	u	nan	838.570	1841.985	2979.525	5.100
common_voice_fa_19090820.mp3	n	nan	nan	nan	nan	0.010
common_voice_fa_19090820.mp3	a	nan	nan	nan	nan	0.010
common_voice_fa_19090820.mp3	m	nan	nan	nan	nan	0.020
common_voice_fa_30441718.mp3	o	nan	406.856	1819.086	2863.650	0.050
common_voice_fa_30441718.mp3	s	nan	895.973	2235.197	2573.416	0.230
common_voice_fa_30441718.mp3	tʰ	nan	728.073	1470.025	2789.338	0.010
common_voice_fa_30441718.mp3	ɔː	102.501	585.307	1416.344	2596.169	0.160
common_voice_fa_30441718.mp3	l	109.768	231.142	1865.315	2822.747	0.010
common_voice_fa_30441718.mp3	i	114.218	248.675	1937.200	2811.440	0.010
common_voice_fa_30441718.mp3	n	116.393	256.375	1966.904	2822.171	0.010
common_voice_fa_30441718.mp3	ɾ	116.172	248.087	2004.502	2801.392	0.010
common_voice_fa_30441718.mp3	a	115.560	547.649	1575.043	2653.575	0.350
common_voice_fa_30441718.mp3	q	98.627	438.889	2486.418	3347.969	0.010
common_voice_fa_30441718.mp3	iː	96.299	422.386	2636.679	3116.886	0.010
common_voice_fa_30441718.mp3	b	97.126	360.195	1126.519	2897.228	0.120
common_voice_fa_30441718.mp3	ɒː	107.451	590.159	1441.471	3002.825	0.220
common_voice_fa_30441718.mp3	n	103.552	779.838	1416.517	3218.252	0.010
common_voice_fa_30441718.mp3	x	nan	830.174	1593.871	3488.154	0.020
common_voice_fa_30441718.mp3	ʊ	283.771	792.294	1699.951	2686.844	0.110
common_voice_fa_30441718.mp3	d	105.399	527.639	1181.920	3008.400	0.010
common_voice_fa_30441718.mp3	ɾ	104.730	552.801	1673.220	3796.072	0.010
common_voice_fa_30441718.mp3	ɑː	106.818	512.383	1242.752	2916.859	0.380
common_voice_fa_30441718.mp3	j	109.252	357.733	2072.991	3531.338	0.010
common_voice_fa_30441718.mp3	æ	nan	2279.540	3146.872	3954.333	0.170
common_voice_fa_30441718.mp3	k	nan	621.183	1845.056	2892.104	0.010
common_voice_fa_30441718.mp3	iː	nan	1322.680	1970.010	2773.673	0.010
common_voice_fa_30441718.mp3	p	nan	1207.847	1596.099	2533.537	0.020
common_voice_fa_30441718.mp3	æ	101.706	689.992	1545.474	2574.055	0.080
common_voice_fa_30441718.mp3	s	nan	800.898	2044.675	2778.067	0.150
common_voice_fa_30441718.mp3	æ	92.544	335.502	1587.044	2774.470	0.170
common_voice_fa_30441718.mp3	z	nan	247.745	2013.131	2974.327	0.010
common_voice_fa_30441718.mp3	d	nan	248.131	1806.586	3140.346	0.010
common_voice_fa_30441718.mp3	iː	nan	256.491	2272.704	3233.069	0.010
common_voice_fa_30441718.mp3	ɡ	nan	275.092	2692.905	3369.571	0.010
